original_path,original_filename,new_filename
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\WhatsApp Image 2023-06-21 at 10.08.46 AM.jpeg,WhatsApp Image 2023-06-21 at 10.08.46 AM.jpeg,aadhaar_001.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\aadhaar_card_page.jpg,aadhaar_card_page.jpg,aadhaar_002.jpg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\adhar1.1.jpeg,adhar1.1.jpeg,aadhaar_003.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\adhar1.2.1.jpeg,adhar1.2.1.jpeg,aadhaar_004.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\adhar1.2.jpeg,adhar1.2.jpeg,aadhaar_005.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\adhar2.1.jpeg,adhar2.1.jpeg,aadhaar_006.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\adhar2.2.jpeg,adhar2.2.jpeg,aadhaar_007.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\bacck_aadhar.jpeg,bacck_aadhar.jpeg,aadhaar_008.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\drishti_Aadhar_page_page-0001.jpg,drishti_Aadhar_page_page-0001.jpg,aadhaar_009.jpg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\drishti_adhar.jpeg,drishti_adhar.jpeg,aadhaar_010.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\eg_aadhar.jpeg,eg_aadhar.jpeg,aadhaar_011.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\front_aadhar.jpeg,front_aadhar.jpeg,aadhaar_012.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\my_full.jpeg,my_full.jpeg,aadhaar_013.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\my_old_aadhar.jpeg,my_old_aadhar.jpeg,aadhaar_014.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\preprocessed_image.jpg,preprocessed_image.jpg,aadhaar_015.jpg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\processed_adhar1.1.jpeg,processed_adhar1.1.jpeg,aadhaar_016.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\processed_adhar1.2.jpeg,processed_adhar1.2.jpeg,aadhaar_017.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\tc4.1.jpeg,tc4.1.jpeg,aadhaar_018.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\tc4.jpeg,tc4.jpeg,aadhaar_019.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\test19.jpeg,test19.jpeg,aadhaar_020.jpeg
D:\LifeVault AI\kiro\LifeVault\dataset\aadhaar\raw\test20.jpeg,test20.jpeg,aadhaar_021.jpeg
